date,city,congestion_level
2026-05-21,Bareilly,0.52
2026-05-22,Bareilly,0.53
2026-05-23,Bareilly,0.59
2026-05-24,Bareilly,0.58
2026-05-17,Bathinda,0.56
2026-05-18,Bathinda,0.52
2026-05-19,Bathinda,0.64
2026-05-20,Bathinda,0.49
2026-05-21,Bathinda,0.48
2026-05-22,Bathinda,0.45
2026-05-23,Bathinda,0.38
2026-05-24,Bathinda,0.41
2026-05-17,Begusarai,0.62
2026-05-18,Begusarai,0.35
2026-05-19,Begusarai,0.6
2026-05-20,Begusarai,0.4
2026-05-21,Begusarai,0.54
2026-05-22,Begusarai,0.69
2026-05-23,Begusarai,0.4
2026-05-24,Begusarai,0.42
2026-05-17,Belgaum,0.48
2026-05-18,Belgaum,0.63
2026-05-19,Belgaum,0.73
2026-05-20,Belgaum,0.41
2026-05-21,Belgaum,0.38
2026-05-22,Belgaum,0.46
2026-05-23,Belgaum,0.53
2026-05-24,Belgaum,0.4
2026-05-17,Bellary,0.48
2026-05-18,Bellary,0.4
2026-05-19,Bellary,0.6
2026-05-20,Bellary,0.49
2026-05-21,Bellary,0.56
2026-05-22,Bellary,0.51
2026-05-23,Bellary,0.64
2026-05-24,Bellary,0.5
2026-05-17,Bhagalpur,0.51
2026-05-18,Bhagalpur,0.53
2026-05-19,Bhagalpur,0.66
2026-05-20,Bhagalpur,0.48
2026-05-21,Bhagalpur,0.34
2026-05-22,Bhagalpur,0.52
2026-05-23,Bhagalpur,0.47
2026-05-24,Bhagalpur,0.42
2026-05-17,Bharatpur,0.44
2026-05-18,Bharatpur,0.56
2026-05-19,Bharatpur,0.41
2026-05-20,Bharatpur,0.49
2026-05-21,Bharatpur,0.52
2026-05-22,Bharatpur,0.61
2026-05-23,Bharatpur,0.43
2026-05-24,Bharatpur,0.4
2026-05-17,Bhilwara,0.55
2026-05-18,Bhilwara,0.47
2026-05-19,Bhilwara,0.51
2026-05-20,Bhilwara,0.55
2026-05-21,Bhilwara,0.52
2026-05-22,Bhilwara,0.64
2026-05-23,Bhilwara,0.46
2026-05-24,Bhilwara,0.44
2026-05-17,Bhopal,0.45
2026-05-18,Bhopal,0.38
2026-05-19,Bhopal,0.64
2026-05-20,Bhopal,0.58
2026-05-21,Bhopal,0.64
2026-05-22,Bhopal,0.49
2026-05-23,Bhopal,0.45
2026-05-24,Bhopal,0.46
2026-05-17,Bhubaneswar,0.57
2026-05-18,Bhubaneswar,0.52
2026-05-19,Bhubaneswar,0.33
2026-05-20,Bhubaneswar,0.51
2026-05-21,Bhubaneswar,0.59
2026-05-22,Bhubaneswar,0.5
2026-05-23,Bhubaneswar,0.38
2026-05-24,Bhubaneswar,0.44
2026-05-17,Bhusawal,0.66
2026-05-18,Bhusawal,0.45
2026-05-19,Bhusawal,0.57
2026-05-20,Bhusawal,0.75
2026-05-21,Bhusawal,0.58
2026-05-22,Bhusawal,0.48
2026-05-23,Bhusawal,0.46
2026-05-24,Bhusawal,0.41
2026-05-17,Bidar,0.65
2026-05-18,Bidar,0.61
2026-05-19,Bidar,0.61
2026-05-20,Bidar,0.44
2026-05-21,Bidar,0.73
2026-05-22,Bidar,0.76
2026-05-23,Bidar,0.61
2026-05-24,Bidar,0.59
2026-05-17,Bijapur,0.59
2026-05-18,Bijapur,0.5
2026-05-19,Bijapur,0.51
2026-05-20,Bijapur,0.45
2026-05-21,Bijapur,0.55
2026-05-22,Bijapur,0.58
2026-05-23,Bijapur,0.4
2026-05-24,Bijapur,0.45
2026-05-17,Bilaspur,0.38
2026-05-18,Bilaspur,0.46
2026-05-19,Bilaspur,0.61
2026-05-20,Bilaspur,0.61
2026-05-21,Bilaspur,0.46
2026-05-22,Bilaspur,0.4
2026-05-23,Bilaspur,0.37
2026-05-24,Bilaspur,0.43
2026-05-17,Bokaro Steel City,0.33
2026-05-18,Bokaro Steel City,0.76
2026-05-19,Bokaro Steel City,0.44
2026-05-20,Bokaro Steel City,0.44
2026-05-21,Bokaro Steel City,0.5
2026-05-22,Bokaro Steel City,0.58
2026-05-23,Bokaro Steel City,0.52
2026-05-24,Bokaro Steel City,0.48
2026-05-17,Chandigarh,0.41
2026-05-18,Chandigarh,0.47
2026-05-19,Chandigarh,0.47
2026-05-20,Chandigarh,0.5
2026-05-21,Chandigarh,0.43
2026-05-22,Chandigarh,0.73
2026-05-23,Chandigarh,0.44
2026-05-24,Chandigarh,0.43
2026-05-17,Chandrapur,0.46
2026-05-18,Chandrapur,0.4
2026-05-19,Chandrapur,0.46
2026-05-20,Chandrapur,0.43
2026-05-21,Chandrapur,0.66
2026-05-22,Chandrapur,0.57
2026-05-23,Chandrapur,0.41
2026-05-24,Chandrapur,0.43
2026-05-17,Chennai,0.55
2026-05-18,Chennai,0.94
2026-05-19,Chennai,0.67
2026-05-20,Chennai,0.77
2026-05-21,Chennai,0.69
2026-05-22,Chennai,0.69
2026-05-23,Chennai,0.72
2026-05-24,Chennai,0.67
2026-05-17,Chikkaballapur,0.44
2026-05-18,Chikkaballapur,0.49
2026-05-19,Chikkaballapur,0.72
2026-05-20,Chikkaballapur,0.53
2026-05-21,Chikkaballapur,0.67
2026-05-22,Chikkaballapur,0.65
2026-05-23,Chikkaballapur,0.71
2026-05-24,Chikkaballapur,0.48
2026-05-17,Chitradurga,0.37
2026-05-18,Chitradurga,0.34
2026-05-19,Chitradurga,0.56
2026-05-20,Chitradurga,0.61
2026-05-21,Chitradurga,0.69
2026-05-22,Chitradurga,0.58
2026-05-23,Chitradurga,0.51
2026-05-24,Chitradurga,0.44
2026-05-17,Coimbatore,0.44
2026-05-18,Coimbatore,0.61
2026-05-19,Coimbatore,0.63
2026-05-20,Coimbatore,0.44
2026-05-21,Coimbatore,0.54
2026-05-22,Coimbatore,0.57
2026-05-23,Coimbatore,0.46
2026-05-24,Coimbatore,0.6
2026-05-17,Darbhanga,0.4
2026-05-18,Darbhanga,0.52
2026-05-19,Darbhanga,0.68
2026-05-20,Darbhanga,0.55
2026-05-21,Darbhanga,0.35
2026-05-22,Darbhanga,0.55
2026-05-23,Darbhanga,0.33
2026-05-24,Darbhanga,0.48
2026-05-17,Davangere,0.44
2026-05-18,Davangere,0.42
2026-05-19,Davangere,0.58
2026-05-20,Davangere,0.42
2026-05-21,Davangere,0.45
2026-05-22,Davangere,0.51
2026-05-23,Davangere,0.45
2026-05-24,Davangere,0.48
2026-05-17,Dehradun,0.38
2026-05-18,Dehradun,0.52
2026-05-19,Dehradun,0.5
2026-05-20,Dehradun,0.71
2026-05-21,Dehradun,0.44
2026-05-22,Dehradun,0.43
2026-05-23,Dehradun,0.55
2026-05-24,Dehradun,0.43
2026-05-17,Delhi,0.79
2026-05-18,Delhi,0.78
2026-05-19,Delhi,0.93
2026-05-20,Delhi,0.93
2026-05-21,Delhi,0.78
2026-05-22,Delhi,0.95
2026-05-23,Delhi,0.73
2026-05-24,Delhi,0.81
2026-05-17,Dewas,0.55
2026-05-18,Dewas,0.76
2026-05-19,Dewas,0.6
2026-05-20,Dewas,0.47
2026-05-21,Dewas,0.46
2026-05-22,Dewas,0.67
2026-05-23,Dewas,0.41
2026-05-24,Dewas,0.53
2026-05-17,Dhanbad,0.44
2026-05-18,Dhanbad,0.56
2026-05-19,Dhanbad,0.53
2026-05-20,Dhanbad,0.4
2026-05-21,Dhanbad,0.35
2026-05-22,Dhanbad,0.56
2026-05-23,Dhanbad,0.47
2026-05-24,Dhanbad,0.51
2026-05-17,Dharmapuri,0.5
2026-05-18,Dharmapuri,0.57
2026-05-19,Dharmapuri,0.56
2026-05-20,Dharmapuri,0.47
2026-05-21,Dharmapuri,0.55
2026-05-22,Dharmapuri,0.48
2026-05-23,Dharmapuri,0.42
2026-05-24,Dharmapuri,0.51
2026-05-17,Dhule,0.45
2026-05-18,Dhule,0.45
2026-05-19,Dhule,0.38
2026-05-20,Dhule,0.59
2026-05-21,Dhule,0.48
2026-05-22,Dhule,0.57
2026-05-23,Dhule,0.47
2026-05-24,Dhule,0.49
2026-05-17,Dindigul,0.42
2026-05-18,Dindigul,0.73
2026-05-19,Dindigul,0.49
2026-05-20,Dindigul,0.65
2026-05-21,Dindigul,0.65
2026-05-22,Dindigul,0.45
2026-05-23,Dindigul,0.5
2026-05-24,Dindigul,0.39
2026-05-17,Durg,0.52
2026-05-18,Durg,0.4
2026-05-19,Durg,0.58
2026-05-20,Durg,0.54
2026-05-21,Durg,0.58
2026-05-22,Durg,0.49
2026-05-23,Durg,0.61
2026-05-24,Durg,0.37
2026-05-17,Eluru,0.37
2026-05-18,Eluru,0.39
2026-05-19,Eluru,0.37
2026-05-20,Eluru,0.42
2026-05-21,Eluru,0.49
2026-05-22,Eluru,0.57
2026-05-23,Eluru,0.38
2026-05-24,Eluru,0.41
2026-05-17,Erode,0.35
2026-05-18,Erode,0.71
2026-05-19,Erode,0.58
2026-05-20,Erode,0.65
2026-05-21,Erode,0.56
2026-05-22,Erode,0.56
2026-05-23,Erode,0.49
2026-05-24,Erode,0.45
2026-05-17,Etawah,0.43
2026-05-18,Etawah,0.43
2026-05-19,Etawah,0.37
2026-05-20,Etawah,0.24
2026-05-21,Etawah,0.54
2026-05-22,Etawah,0.5
2026-05-23,Etawah,0.38
2026-05-24,Etawah,0.43
2026-05-17,Faridabad,0.39
2026-05-18,Faridabad,0.48
2026-05-19,Faridabad,0.51
2026-05-20,Faridabad,0.44
2026-05-21,Faridabad,0.37
2026-05-22,Faridabad,0.64
2026-05-23,Faridabad,0.41
2026-05-24,Faridabad,0.35
2026-05-17,Farrukhabad,0.49
2026-05-18,Farrukhabad,0.5
2026-05-19,Farrukhabad,0.57
2026-05-20,Farrukhabad,0.61
2026-05-21,Farrukhabad,0.48
2026-05-22,Farrukhabad,0.58
2026-05-23,Farrukhabad,0.63
2026-05-24,Farrukhabad,0.4
2026-05-17,Gandhinagar,0.35
2026-05-18,Gandhinagar,0.48
2026-05-19,Gandhinagar,0.54
2026-05-20,Gandhinagar,0.32
2026-05-21,Gandhinagar,0.56
2026-05-22,Gandhinagar,0.45
2026-05-23,Gandhinagar,0.38
2026-05-24,Gandhinagar,0.31
2026-05-17,Ghaziabad,0.34
2026-05-18,Ghaziabad,0.45
2026-05-19,Ghaziabad,0.38
2026-05-20,Ghaziabad,0.35
2026-05-21,Ghaziabad,0.52
2026-05-22,Ghaziabad,0.36
2026-05-23,Ghaziabad,0.48
2026-05-24,Ghaziabad,0.35
2026-05-17,Gorakhpur,0.41
2026-05-18,Gorakhpur,0.53
2026-05-19,Gorakhpur,0.65
2026-05-20,Gorakhpur,0.49
2026-05-21,Gorakhpur,0.48
2026-05-22,Gorakhpur,0.39
2026-05-23,Gorakhpur,0.42
2026-05-24,Gorakhpur,0.55
2026-05-17,Greater Noida,0.44
2026-05-18,Greater Noida,0.55
2026-05-19,Greater Noida,0.43
2026-05-20,Greater Noida,0.6
2026-05-21,Greater Noida,0.48
2026-05-22,Greater Noida,0.62
2026-05-23,Greater Noida,0.52
2026-05-24,Greater Noida,0.43
2026-05-17,Gulbarga,0.43
2026-05-18,Gulbarga,0.43
2026-05-19,Gulbarga,0.53
2026-05-20,Gulbarga,0.4
2026-05-21,Gulbarga,0.48
2026-05-22,Gulbarga,0.55
2026-05-23,Gulbarga,0.49
2026-05-24,Gulbarga,0.63
2026-05-17,Gurgaon,0.41
2026-05-18,Gurgaon,0.47
2026-05-19,Gurgaon,0.5
2026-05-20,Gurgaon,0.71
2026-05-21,Gurgaon,0.4
2026-05-22,Gurgaon,0.48
2026-05-23,Gurgaon,0.47
2026-05-24,Gurgaon,0.57
2026-05-17,Guwahati,0.5
2026-05-18,Guwahati,0.87
2026-05-19,Guwahati,0.44
2026-05-20,Guwahati,0.52
2026-05-21,Guwahati,0.44
2026-05-22,Guwahati,0.5
2026-05-23,Guwahati,0.48
2026-05-24,Guwahati,0.38
2026-05-17,Gwalior,0.36
2026-05-18,Gwalior,0.53
2026-05-19,Gwalior,0.69
2026-05-20,Gwalior,0.58
2026-05-21,Gwalior,0.54
2026-05-22,Gwalior,0.43
2026-05-23,Gwalior,0.53
2026-05-24,Gwalior,0.32
2026-05-17,Hapur,0.35
2026-05-18,Hapur,0.58
2026-05-19,Hapur,0.56
2026-05-20,Hapur,0.46
2026-05-21,Hapur,0.55
2026-05-22,Hapur,0.51
2026-05-23,Hapur,0.57
2026-05-24,Hapur,0.51
2026-05-17,Hassan,0.47
2026-05-18,Hassan,0.45
2026-05-19,Hassan,0.55
2026-05-20,Hassan,0.46
2026-05-21,Hassan,0.59
2026-05-22,Hassan,0.62
2026-05-23,Hassan,0.48
2026-05-24,Hassan,0.56
2026-05-17,Hospet,0.49
2026-05-18,Hospet,0.59
2026-05-19,Hospet,0.62
2026-05-20,Hospet,0.7
2026-05-21,Hospet,0.59
2026-05-22,Hospet,0.6
2026-05-23,Hospet,0.63
2026-05-24,Hospet,0.44
2026-05-17,Hosur,0.42
2026-05-18,Hosur,0.51
2026-05-19,Hosur,0.53
2026-05-20,Hosur,0.7
2026-05-21,Hosur,0.63
2026-05-22,Hosur,0.57
2026-05-23,Hosur,0.31
2026-05-24,Hosur,0.55
2026-05-17,Hubli,0.52
2026-05-18,Hubli,0.5
2026-05-19,Hubli,0.83
2026-05-20,Hubli,0.53
2026-05-21,Hubli,0.47
2026-05-22,Hubli,0.53
2026-05-23,Hubli,0.66
2026-05-24,Hubli,0.49
2026-05-17,Hyderabad,0.57
2026-05-18,Hyderabad,0.7
2026-05-19,Hyderabad,0.68
2026-05-20,Hyderabad,0.68
2026-05-21,Hyderabad,0.6
2026-05-22,Hyderabad,0.58
2026-05-23,Hyderabad,0.57
2026-05-24,Hyderabad,0.66
2026-05-17,Ichalkaranji,0.51
2026-05-18,Ichalkaranji,0.34
2026-05-19,Ichalkaranji,0.32
2026-05-20,Ichalkaranji,0.5
2026-05-21,Ichalkaranji,0.55
2026-05-22,Ichalkaranji,0.71
2026-05-23,Ichalkaranji,0.46
2026-05-24,Ichalkaranji,0.49
2026-05-17,Imphal,0.38
2026-05-18,Imphal,0.55
2026-05-19,Imphal,0.48
2026-05-20,Imphal,0.66
2026-05-21,Imphal,0.43
2026-05-22,Imphal,0.6
2026-05-23,Imphal,0.45
2026-05-24,Imphal,0.34
2026-05-17,Indore,0.51
2026-05-18,Indore,0.83
2026-05-19,Indore,0.47
2026-05-20,Indore,0.54
2026-05-21,Indore,0.75
2026-05-22,Indore,0.5
2026-05-23,Indore,0.47
2026-05-24,Indore,0.43
2026-05-17,Jabalpur,0.46
2026-05-18,Jabalpur,0.48
2026-05-19,Jabalpur,0.48
2026-05-20,Jabalpur,0.47
2026-05-21,Jabalpur,0.48
2026-05-22,Jabalpur,0.74
2026-05-23,Jabalpur,0.46
2026-05-24,Jabalpur,0.59
2026-05-17,Jaipur,0.39
2026-05-18,Jaipur,0.56
2026-05-19,Jaipur,0.5
2026-05-20,Jaipur,0.46
2026-05-21,Jaipur,0.65
2026-05-22,Jaipur,0.64
2026-05-23,Jaipur,0.56
2026-05-24,Jaipur,0.52
2026-05-17,Jalandhar,0.4
2026-05-18,Jalandhar,0.65
2026-05-19,Jalandhar,0.68
2026-05-20,Jalandhar,0.48
2026-05-21,Jalandhar,0.4
2026-05-22,Jalandhar,0.68
2026-05-23,Jalandhar,0.47
2026-05-24,Jalandhar,0.37
2026-05-17,Jalgaon,0.45
2026-05-18,Jalgaon,0.49
2026-05-19,Jalgaon,0.6
2026-05-20,Jalgaon,0.39
2026-05-21,Jalgaon,0.55
2026-05-22,Jalgaon,0.39
2026-05-23,Jalgaon,0.42
2026-05-24,Jalgaon,0.59
2026-05-17,Jalna,0.43
2026-05-18,Jalna,0.47
2026-05-19,Jalna,0.72
2026-05-20,Jalna,0.37
2026-05-21,Jalna,0.64
2026-05-22,Jalna,0.45
2026-05-23,Jalna,0.44
2026-05-24,Jalna,0.46
2026-05-17,Jamshedpur,0.57
2026-05-18,Jamshedpur,0.56
2026-05-19,Jamshedpur,0.53
2026-05-20,Jamshedpur,0.74
2026-05-21,Jamshedpur,0.52
2026-05-22,Jamshedpur,0.4
2026-05-23,Jamshedpur,0.49
2026-05-24,Jamshedpur,0.54
2026-05-17,Junagadh,0.34
2026-05-18,Junagadh,0.75
2026-05-19,Junagadh,0.54
2026-05-20,Junagadh,0.63
2026-05-21,Junagadh,0.46
2026-05-22,Junagadh,0.54
2026-05-23,Junagadh,0.37
2026-05-24,Junagadh,0.48
2026-05-17,Kadapa,0.44
2026-05-18,Kadapa,0.58
2026-05-19,Kadapa,0.56
2026-05-20,Kadapa,0.5
2026-05-21,Kadapa,0.51
2026-05-22,Kadapa,0.49
2026-05-23,Kadapa,0.37
2026-05-24,Kadapa,0.57
2026-05-17,Kalyan,0.59
2026-05-18,Kalyan,0.58
2026-05-19,Kalyan,0.41
2026-05-20,Kalyan,0.45
2026-05-21,Kalyan,0.54
2026-05-22,Kalyan,0.51
2026-05-23,Kalyan,0.37
2026-05-24,Kalyan,0.5
2026-05-17,Kanpur,0.76
2026-05-18,Kanpur,0.51
2026-05-19,Kanpur,0.64
2026-05-20,Kanpur,0.57
2026-05-21,Kanpur,0.59
2026-05-22,Kanpur,0.73
2026-05-23,Kanpur,0.5
2026-05-24,Kanpur,0.61
2026-05-17,Kanyakumari,0.47
2026-05-18,Kanyakumari,0.67
2026-05-19,Kanyakumari,0.53
2026-05-20,Kanyakumari,0.49
2026-05-21,Kanyakumari,0.39
2026-05-22,Kanyakumari,0.52
2026-05-23,Kanyakumari,0.45
2026-05-24,Kanyakumari,0.49
2026-05-17,Karimnagar,0.43
2026-05-18,Karimnagar,0.58
2026-05-19,Karimnagar,0.66
2026-05-20,Karimnagar,0.58
2026-05-21,Karimnagar,0.54
2026-05-22,Karimnagar,0.69
2026-05-23,Karimnagar,0.47
2026-05-24,Karimnagar,0.61
2026-05-17,Karnal,0.47
2026-05-18,Karnal,0.54
2026-05-19,Karnal,0.45
2026-05-20,Karnal,0.44
2026-05-21,Karnal,0.61
2026-05-22,Karnal,0.51
2026-05-23,Karnal,0.39
2026-05-24,Karnal,0.62
2026-05-17,Karur,0.44
2026-05-18,Karur,0.48
2026-05-19,Karur,0.37
2026-05-20,Karur,0.47
2026-05-21,Karur,0.58
2026-05-22,Karur,0.6
2026-05-23,Karur,0.39
2026-05-24,Karur,0.44
2026-05-17,Khammam,0.36
2026-05-18,Khammam,0.59
2026-05-19,Khammam,0.54
2026-05-20,Khammam,0.6
2026-05-21,Khammam,0.47
2026-05-22,Khammam,0.51
2026-05-23,Khammam,0.55
2026-05-24,Khammam,0.5
2026-05-17,Kochi,0.48
2026-05-18,Kochi,0.51
2026-05-19,Kochi,0.54
2026-05-20,Kochi,0.58
2026-05-21,Kochi,0.41
2026-05-22,Kochi,0.53
2026-05-23,Kochi,0.53
2026-05-24,Kochi,0.67
2026-05-17,Kolar,0.45
2026-05-18,Kolar,0.59
2026-05-19,Kolar,0.61
2026-05-20,Kolar,0.57
2026-05-21,Kolar,0.45
2026-05-22,Kolar,0.52
2026-05-23,Kolar,0.45
2026-05-24,Kolar,0.5
2026-05-17,Kolhapur,0.43
2026-05-18,Kolhapur,0.56
2026-05-19,Kolhapur,0.38
2026-05-20,Kolhapur,0.56
2026-05-21,Kolhapur,0.53
2026-05-22,Kolhapur,0.45
2026-05-23,Kolhapur,0.49
2026-05-24,Kolhapur,0.41
2026-05-17,Kolkata,0.72
2026-05-18,Kolkata,0.81
2026-05-19,Kolkata,0.88
2026-05-20,Kolkata,0.67
2026-05-21,Kolkata,0.75
2026-05-22,Kolkata,0.53
2026-05-23,Kolkata,0.62
2026-05-24,Kolkata,0.63
2026-05-17,Kollam,0.45
2026-05-18,Kollam,0.46
2026-05-19,Kollam,0.5
2026-05-20,Kollam,0.53
2026-05-21,Kollam,0.53
2026-05-22,Kollam,0.39
2026-05-23,Kollam,0.43
2026-05-24,Kollam,0.42
2026-05-17,Korba,0.51
2026-05-18,Korba,0.59
2026-05-19,Korba,0.68
2026-05-20,Korba,0.51
2026-05-21,Korba,0.47
2026-05-22,Korba,0.45
2026-05-23,Korba,0.44
2026-05-24,Korba,0.46
2026-05-17,Kozhikode,0.35
2026-05-18,Kozhikode,0.53
2026-05-19,Kozhikode,0.55
2026-05-20,Kozhikode,0.53
2026-05-21,Kozhikode,0.56
2026-05-22,Kozhikode,0.49
2026-05-23,Kozhikode,0.44
2026-05-24,Kozhikode,0.5
2026-05-17,Krishnagiri,0.45
2026-05-18,Krishnagiri,0.49
2026-05-19,Krishnagiri,0.37
2026-05-20,Krishnagiri,0.56
2026-05-21,Krishnagiri,0.42
2026-05-22,Krishnagiri,0.46
2026-05-23,Krishnagiri,0.41
2026-05-24,Krishnagiri,0.52
2026-05-17,Kurnool,0.41
2026-05-18,Kurnool,0.5
2026-05-19,Kurnool,0.5
2026-05-20,Kurnool,0.44
2026-05-21,Kurnool,0.48
2026-05-22,Kurnool,0.48
2026-05-23,Kurnool,0.6
2026-05-24,Kurnool,0.47
2026-05-17,Latur,0.49
2026-05-18,Latur,0.54
2026-05-19,Latur,0.5
2026-05-20,Latur,0.62
2026-05-21,Latur,0.57
2026-05-22,Latur,0.64
2026-05-23,Latur,0.41
2026-05-24,Latur,0.5
2026-05-17,Lucknow,0.57
2026-05-18,Lucknow,0.61
2026-05-19,Lucknow,0.72
2026-05-20,Lucknow,0.59
2026-05-21,Lucknow,0.58
2026-05-22,Lucknow,0.51
2026-05-23,Lucknow,0.53
2026-05-24,Lucknow,0.69
2026-05-17,Ludhiana,0.42
2026-05-18,Ludhiana,0.52
2026-05-19,Ludhiana,0.39
2026-05-20,Ludhiana,0.39
2026-05-21,Ludhiana,0.39
2026-05-22,Ludhiana,0.4
2026-05-23,Ludhiana,0.2
2026-05-24,Ludhiana,0.42
2026-05-17,Madurai,0.39
2026-05-18,Madurai,0.58
2026-05-19,Madurai,0.42
2026-05-20,Madurai,0.66
2026-05-21,Madurai,0.65
2026-05-22,Madurai,0.32
2026-05-23,Madurai,0.57
2026-05-24,Madurai,0.45
2026-05-17,Malegaon,0.41
2026-05-18,Malegaon,0.5
2026-05-19,Malegaon,0.5
2026-05-20,Malegaon,0.48
2026-05-21,Malegaon,0.66
2026-05-22,Malegaon,0.71
2026-05-23,Malegaon,0.42
2026-05-24,Malegaon,0.43
2026-05-17,Mandya,0.43
2026-05-18,Mandya,0.57
2026-05-19,Mandya,0.57
2026-05-20,Mandya,0.5
2026-05-21,Mandya,0.7
2026-05-22,Mandya,0.51
2026-05-23,Mandya,0.49
2026-05-24,Mandya,0.5
2026-05-17,Mangalore,0.45
2026-05-18,Mangalore,0.69
2026-05-19,Mangalore,0.49
2026-05-20,Mangalore,0.77
2026-05-21,Mangalore,0.51
2026-05-22,Mangalore,0.5
2026-05-23,Mangalore,0.49
2026-05-24,Mangalore,0.51
2026-05-17,Mathura,0.37
2026-05-18,Mathura,0.46
2026-05-19,Mathura,0.59
2026-05-20,Mathura,0.44
2026-05-21,Mathura,0.47
2026-05-22,Mathura,0.43
2026-05-23,Mathura,0.42
2026-05-24,Mathura,0.45
